QuestionID,QuestionText
1101,Para onde vão os alunos desesperados antes do início das aulas?,
1102,O que um aluno de primeira fase mais deseja?,
1103,Por que o bloco central é apelidado de monobloco?,
1201,Qual professor do IFSC é dono de uma cervejaria famosa?,
1202,Que Gisele normalmente dá aula para primeira fase em português?,
1203,Que matéria o professor Albertinho aplica para as fases iniciais?,
1301,"A partir da quinta fase, os alunos de curso técnico não se reportam mais ao DALTEC, por quê?",
1302,O que fazer caso você chegue atrasado depois dos 5 minutos de tolerância?,
1303,Qual o apelido carinhoso para o laboratório de testes no DAELN?,
1401,Para que serve o elevador do monobloco?,
1402,Quem dentre estes não é professor de química?,
1403,Quem dentre estes não é professor de física?,
1501,Qual o nome onde estudantes podem esquentar suas comidas em microondas?,
1502,"O que não tem mais no local conhecido como ""as bandeiras""?",
1503,"O que tem no lugar chamado de ""LINFO""?",
1601,Onde encontrar um aluno de eletrônica no fim do semestre?,
1602,O que é pedido há anos nas quadras do campus?,
1603,O que mais se vê nas mãos dos alunos durante período de olimpíadas?,
1701,Que professor de eletrônica tem apelido e nome igual a um antigo presidente do Brasil?,
1702,Qual o motivo que levou o aluno a sentar no fundo da sala?,
1703,Quais motivos podem levar a uma aula aos sábados?,
1801,"Ao se machucar, o que você deve fazer?",
1802,"Existe um WiFi específico para os estudantes, mas qual eles realmente usam?",
1803,"Caso Handball seja uma das modalidades em educação física, em que quadra é praticado?",
1901,Que jogo de cartas é mais jogado no campus?,
1902,Qual modalidade não teve nas ultimas edições das olimpíadas do IFSC?,
1903,Quanto por cento de falta é tolerado pelas matérias no curso técnico integrado?,
1001,"Caso você precise conversar com alguém, a quem recorrer?",
1002,Qual o nome do Coordenador do departamento de eletrônica?,
1003,Qual desses cursos técnicos não tem modalidade vespertina?,
2101,Qual o material das garras do personagem Wolverine?,
2102,Qual a profissão de Oscar Niemeyer?,
2103,Qual o coletivo de cães?,
2201,Qual o triângulo com todos os lados diferentes?,
2202,"O adjetivo ""venoso"" está relacionado a?",
2203,Em que parte do corpo se encontra a epiglote?,
2301,Quantos signos astrológicos formam o zodíaco?,
2302,Que personagem do folclore brasileiro tem uma perna só?,
2303,Qual o animal da nota de 10 reais?,
2401,Violoncelo é um instrumento de?,
2402,Onde nasceu o pintor Pablo Picasso?,
2403,Qual capital dos Estados Unidos?,
2501,Que ator fez a série de filmes clássicos Rocky?,
2502,"No filme Rocky 1, quem ganha no final?",
2503,Quem é responsável por acabar com a carreira de Apollo Creed na série de filmes do Rocky Balboa?,
2601,Quais o menor e o maior país do mundo?,
2602,Qual número mínimo uma equipe de futebol precisa para manter a partida?,
2603,Qual nacionalidade de Che Guevara?,
2701,Qual a montanha mais alta do Brasil?,
2702,"Quem é o ator de ""O Príncipe?",
2703,Qual destes países é transcontinental?,
2801,Em que oceano fica Madagascar?,
2802,Qual o metal cujo símbolo na tabela periódica químico é o Au?,
2803,Quem pintou o teto da Capela Sistina?,
2901,Jim Morrison era vocalista de qual grupo?,
2902,Qual a nacionalidade do sociólogo e filósofo Durkheim?,
2903,Lady Di era o apelido de qual personalidade?,
2001,Qual a primeira mulher a ganhar um prêmio Nobel?,
2002,Como morreu Saddam Hussein?,
2003,"Em que país se localizava Auschwitz, o maior campo de concentração nazista?",
